t	K	U	E	T	P
12000	877.4146662197293	-4867.633361043153	-3990.218694823424	0.677017489367075	0.4202112749235226
12020	893.2050379356033	-4886.280113320334	-3993.0750753847306	0.6892014181601878	0.5324646241558495
12040	906.1537735107352	-4900.818516490546	-3994.6647429798104	0.6991927264743326	0.6415632414267335
12060	884.0114379282688	-4878.294456770634	-3994.283018842365	0.6821075909940347	0.5331239357390292
12080	890.6737219478618	-4880.582670772886	-3989.9089488250247	0.6872482422437207	0.4976435957902602
12100	910.2083703630344	-4889.472749620233	-3979.264379257197	0.7023212734282673	0.5581164065511889
12120	896.5131537365571	-4873.738685187918	-3977.225531451362	0.6917539766485781	0.47478216047389044
12140	907.3331928576615	-4880.465885213378	-3973.132692355716	0.7001027722667141	0.5219532200684928
12160	896.390135419934	-4863.834135960242	-3967.444000540307	0.6916590551079738	0.42009177628103894
12180	915.1900597848689	-4883.325428766173	-3968.135368981304	0.7061651695870901	0.6166475647275662
12200	888.8329553392248	-4863.284570259981	-3974.4516149207543	0.6858278976382908	0.43999682157486947
12220	898.1493234483262	-4875.345765187677	-3977.196441739351	0.6930164532780295	0.49342145220045436
12240	861.1721775406771	-4840.835932011214	-3979.663754470536	0.6644847048924978	0.28665703763568595
12260	897.727971361009	-4877.199041792643	-3979.471070431635	0.6926913359267045	0.5171961731683093
12280	924.359172935802	-4897.327107852311	-3972.96793491651	0.7132401025739213	0.6649875331785499
12300	910.2006517894972	-4886.345822486504	-3976.1451706970065	0.7023153177388096	0.6041457000751592
12320	899.2551847100156	-4876.135969705054	-3976.88078499504	0.6938697412885921	0.5268697904259231
12340	879.1395938928135	-4858.2544390283965	-3979.114845135583	0.6783484520777883	0.37287767768836166
12360	898.5244047759304	-4869.299401902545	-3970.774997126614	0.6933058678826622	0.43833478987867364
12380	924.8739761218334	-4896.245956939089	-3971.3719808172573	0.7136373272545011	0.6488142182391629
12400	896.7637589951453	-4859.455994275946	-3962.692235280801	0.6919473449036617	0.43308771835451837
12420	880.4569257538017	-4853.7537898394385	-3973.2968640856393	0.6793649118470689	0.3689563035061427
12440	884.9448323817181	-4864.529240085168	-3979.584407703449	0.6828278027636714	0.41069925507186056
12460	893.1979332721054	-4872.404087046785	-3979.2061537746804	0.689195936166748	0.47006361963065607
12480	887.8602024881009	-4878.266908298314	-3990.406705810213	0.6850773167346459	0.4971384676935508
12500	908.9271295489483	-4900.762560556019	-3991.8354310070717	0.7013326616890032	0.651582986413116
12520	876.1173978964704	-4875.603078118421	-3999.4856802219488	0.6760165107225853	0.4691503157216957
12540	884.200216563692	-4878.698850897462	-3994.4986343337687	0.6822532535213675	0.5348497083184606
12560	898.3624965416504	-4881.914826540515	-3983.5523299988636	0.6931809386895453	0.5274231272688825
12580	906.4480148805767	-4889.930742762133	-3983.482727881556	0.6994197645683461	0.5804308927667934
12600	870.391566977002	-4862.343452275401	-3991.951885298399	0.6715984313094152	0.4236393056976427
12620	888.181727650328	-4893.0228977461	-4004.841170095772	0.6853254071375986	0.5840868337459268
12640	888.5287904734571	-4899.000584516289	-4010.471794042831	0.6855932025258157	0.619418042968337
12660	877.7823028970321	-4891.687783575256	-4013.905480678225	0.6773011596427716	0.5855704893075988
